Temp,Vacuum,Pressure,Plant,Humidity,Energy,TempDiff,PressureDiff,RHSquared,Testing Type,Place,PowerPerFuel,TempVacuum
8.22,40.77,1009.11,Amrita Energy Systems,95.61,480.38,-32.550000000000004,968.34,9141.2721,Development Phase,Coimbatore,1.4334164654011254,
25.24,57.17,1010.44,Amrita Energy Systems,74.0,442.77,-31.930000000000003,953.2700000000001,5476.0,Development Phase,Coimbatore,0.30684612606159456,1442.9708
21.52,50.66,1013.56,Amrita Energy Systems,74.33,455.71,-29.139999999999997,962.9,5524.948899999999,Development Phase,Coimbatore,0.41800464353801203,1090.2032
26.45,64.27,1013.23!,Amrita Energy Systems,60.92,444.9,-37.81999999999999,,,Development Phase,Coimbatore,0.2617148884241017,1699.9415
,40.46,1019.87,Amrita Energy Systems,78.19,475.06,-31.990000000000002,979.41H#,6113.6761,Development Phase,Coimbatore,1.3862423919494875,
,71.8,1010.87,Amrita Energy Systems,64.11,435.82,-41.41,939.07,4110.0921$####,Development Phase,Coimbatore,0.19973400574334946,2182.002NeEn
,73.68,1014.45$$!!,Amrita Energy Systems,52.34,426.46,-40.790000000000006,,2739.4756,Development Phase,Coimbatore,0.1759806072226409,2423.3352000000004
14.55enn%,42.74,1028.41,Amrita Energy Systems,70.09,465.81,-28.19,985.6700000000001,4912.6081!,Development Phase,Coimbatore,0.7490508420610837,621.8670000000001
31.86,73.88,1005.6,Amrita Energy Systems,57.68,435.91,-42.019999999999996,931.72,3326.9824,Development Phase,Coimbatore,0.18519283233937328,2353.8167999999996
,58.86,1015.99,Amrita Energy Systems,89.03,450.33,-40.83#uffj,957.13,7926.3409,Development Phase,Coimbatore,0.4243409019851951,1061.2458000000001
18.66,56.53,1020.13,Amrita Energy Systems,80.04,459.45,-37.870000000000005,963.6,6406.401600000001,Development Phase,Coimbatore,0.4355596408133177,1054.8498
16.39,,1014.58,Amrita Energy Systems,90.34,455.05,-42.2,955.99,8161.315600000001,Development Phase,Coimbatore,,960.2901
23.3@h,72.99,1008.54&#,Amrita Energy Systems,92.11,437.62,-49.69,935.55,,Development Phase,Coimbatore,0.25732256814532184,1700.667
,,1019.6,Amrita Energy Systems,57.1,448.51,-38.78,958.33,3260.4100000000003,Development Phase,Coimbatore,0.32548785986380036,1377.9623
15.27,56.89,1013.28,Amrita Energy Systems,86.92,456.72,-41.620000000000005,956.39,7555.0864,Development Phase,Coimbatore,0.5257448887160657,868.7103
,53.16,1013.31,,83.18,458.47,-34.8,,,Development Phase,Coimbatore,0.4697353818209836,
11.98,39.35,1014.97,Amrita Energy Systems,98.05,472.43,-27.37,975.62,9613.8025,Development Phase,Coimbatore,,471.413
20.6,45.38,1014.93!^!!#,Amrita Energy Systems,75.78,460.24,-24.78,969.55,5742.6084,Development Phase,Coimbatore,0.49232586101400466,
,51.19,1009.3,Amrita Energy Systems,82.8,443.57,-28.259999999999998,,6855.839999999999,Development Phase,Coimbatore,0.37789659739712506,1173.7866999999999
,41.85,1016.78,Amrita Energy Systems,88.23,466.72,-26.79,974.93,7784.532900000001,Development Phase,Coimbatore,,630.2610000000001
9.59,38.91,1011.87,Amrita Energy Systems,81.3,479.96,-29.319999999999997,,6609.69,Development Phase,Coimbatore,1.2862494636830697,373.14689999999996
26.3,61.41,1012.45,Amrita Energy Systems,56.85,448.55,-35.11,951.0400000000001,3231.9225,Development Phase,Coimbatore,0.2777256648729508,1615.0829999999999
10.42,,1008.48,Amrita Energy Systems,96.76,472.54,-30.839999999999996,967.22,9362.4976,Development Phase,Coimbatore,1.0991112024956669,429.9292
11.77,41.06soeon,1021.45,Amrita Energy Systems,76.63,475.88,-29.290000000000003,980.3900000000001,,Development Phase,Coimbatore,0.9846957081685379,483.2762ioen
8.24,39.61,1017.99,Amrita Energy Systems,78.42,477.9,-31.369999999999997,978.38,6149.696400000001,Development Phase,Coimbatore,1.46421542074057,326.3864
23.19,42.67,1007.83,,63.31,446.95,-19.48,,4008.1561,Development Phase,Coimbatore,0.4516848770607648,989.5173000000001oNeOS
,65.18,1011.47,Amrita Energy Systems,47.14,436.99,-37.980000000000004,946.29,2222.1796,Development Phase,Coimbatore,0.24648371929317905,1772.8960000000002
26.99,68.12,1011.45,Amrita Energy Systems,58.48,436.95,-41.13000000000001,943.33H@I!,,Development Phase,Coimbatore,0.2376589750624239,1838.5588
5.66,39.42,1024.7,Amrita Energy Systems,78.52,482.11,-33.760000000000005,985.2800000000001,6165.390399999999,Development Phase,Coimbatore,2.16079262378696,223.11720000000003
14.81,39.58,1011.62,Amrita Energy Systems,73.64,467.32,-24.769999999999996,972.04,5422.8496000000005,Development Phase,Coimbatore,0.7972297919512068,586.1798
23.19,49.82,1014.59,Amrita Energy Systems,70.52,451.08,-26.63,964.77,,Development Phase,Coimbatore,0.3904353213612991,1155.3258
30.82,,1007.47&^^#,,59.3l,432.22,-45.38,931.27,3516.49,Development Phase,Coimbatore,,2348.484
19.72,,1010.53,Amrita Energy Systems,82.12,446.84,-46.22,944.5899999999999,,Development Phase,Coimbatore,0.3436340492709274,1300.3367999999998
23.93,64.05ose,1013.09,Amrita Energy Systems,86.02,440.66,-40.12,949.0400000000001,7399.4403999999995,Development Phase,Coimbatore,0.2875026138232348,
14.3,42.99,1007.32,Amrita Energy Systems,73.72,467.9,-28.69,964.33,5434.6384,Development Phase,Coimbatore,0.7611137408764763,614.7570000000001
19.16,63.09,1017.71,Amrita Energy Systems,91.15,449.51,-43.93000000000001,954.62,8308.3225,Development Phase,Coimbatore,0.371863305593527,1208.8044
24.51b@ci,65.12,1016.18,Amrita Energy Systems,62.39,447.46,-40.61,951.06,3892.5121,Development Phase,Coimbatore,0.280347388670522,1596.0912000000003
13.97,52.05,1012.05,Amrita Energy Systems,85.36,463.64,-38.08,960.0#,7286.3296,Development Phase,Coimbatore,0.6376226812361055,727.1385ESIon
,39.28,1017.08,Amrita Energy Systems,87.02,473.86,-26.87,977.8000000000001,7572.4803999999995,Development Phase,Coimbatore,0.9720907027543322,487.4648ieS
25.07nr,56.85,1011.25,Amrita Energy Systems,51.99,442.44,-31.78,954.4,2702.9601000000002,Development Phase,Coimbatore,0.31043421427917395,
,73.68,1014.18,Amrita Energy Systems,87.53,429.84,-47.91000000000001,940.5,7661.5009,Development Phase,Coimbatore,,1898.7336000000003
14.95,42.99,1008.75,,90.76,468.61,-28.040000000000003,965.76,8237.377600000002,Development Phase,Coimbatore,,642.7005
20.02,,1011.5,Amrita Energy Systems,76.74,454.21,-38.64,952.84,5889.027599999999,Development Phase,Coimbatore,0.3867680222947867,1174.3732
12.36,52.75,1026.04,Amrita Energy Systems,68.71,465.14,-40.39j,973.29,4721.064099999999,Development Phase,Coimbatore,0.7134158499363487,651.99
21.7,64.69,1007.93,Amrita Energy Systems,78.37,448.76,-42.989999999999995,943.24,6141.856900000001,Development Phase,Coimbatore,0.3196813159962473,1403.773
,40.12,1012.59,Amrita Energy Systems,87.87,457.05,-23.169999999999998,,7721.1369,Development Phase,Coimbatore,,680.0339999999999
12.22,40.78,1024.02,Amrita Energy Systems,85.46,464.12,-28.560000000000002aH,983.24,7303.4115999999985,Development Phase,Coimbatore,0.9313477210756853,498.33160000000004ESEsN
23.21,58.66,1012.24,Amrita Energy Systems,65.31,450.92,-35.449999999999996j,953.58,4265.3961#,Development Phase,Coimbatore,0.33119387709983694,1361.4986
22.72,62.4,1010.28,Amrita Energy Systems,80.79,445.22,-39.68,947.88,,Development Phase,Coimbatore,0.314037671542073,1417.7279999999998
13.54,40.69,1015.85,Amrita Energy Systems,77.55,471.05,-27.15,975.1600000000001,6014.0025,Development Phase,Coimbatore,0.8549892493337782,550.9426
,63.78eoi,1015.85,Amrita Energy Systems,70.46,444.62,-40.78,952.07,4964.611599999999,Development Phase,Coimbatore,,1466.94
23.56,,1007.13!!&,Amrita Energy Systems,87.1qw,439.27,-50.11,933.46,7586.409999999999,Development Phase,Coimbatore,0.253084523443807,1735.6652
19.64,44.6,1015.88,,47.56jv,467.53,-24.96,,2261.9536000000003,Development Phase,Coimbatore,,875.9440000000001
21.98,58.79,1010.72,Amrita Energy Systems,86.85,448.84,-36.81,951.9300000000001,7542.922499999999,Development Phase,Coimbatore,0.34734448317069394,1292.2042
20.64,61.86,1012.81,Amrita Energy Systems,99.97,447.14,-41.22,950.9499999999999,9994.0009,Development Phase,Coimbatore,0.35020626721504167,
13.72,49.83,1006.88,Amrita Energy Systems,89.49,463.65,-36.11#juHf,957.05,8008.460099999999,Development Phase,Coimbatore,0.6781804490954376,683.6676
26.24,51.43,1011.32,,59.52,447.91,-25.19,959.8900000000001,3542.6304000000005,Development Phase,Coimbatore,0.3319024081986883,1349.5231999999999
,41.26,1010.6,Amrita Energy Systems,96.88,484.71,-34.29,969.34II!,9385.7344,Development Phase,Coimbatore,,287.5822
24.67,69.14ione,1006.25,Amrita Energy Systems,88.51,440.03,-44.47,937.11,7834.020100000001,Development Phase,Coimbatore,0.2579786476250756,1705.6838ieis
23.6f%,48.98,1015.41,,48.28,448.43,-25.379999999999995,966.43,2330.9584,Development Phase,Coimbatore,0.3879393872282703,1155.9279999999999
13.45b$i@f,45.87,1008.42,Amrita Energy Systems,87.74,464.59,-32.42,962.55,7698.307599999999,Development Phase,Coimbatore,,616.9514999999999OSN
24.84,71.73,1009.84,Amrita Energy Systems,82.41,436.36,-46.89,938.11,6791.4081,Development Phase,Coimbatore,0.24490210089589404,1781.7732
11.95#,40.69i,1015.62,,85.34eizvh,475.4,-28.74,,7282.9156,Development Phase,Coimbatore,,486.24549999999994nO
17.13,42.86,1014.15,Amrita Energy Systems,73.6,463.09,-25.73,971.29,5416.959999999999,Development Phase,Coimbatore,0.6307479871063665,734.1918N
19.92,38.52,1018.15,Amrita Energy Systems,60.68,451.16,-18.6,979.63,3682.0624,Development Phase,Coimbatore,0.5879697398107486,767.3184000000001
30.1,67.45,1014.23,Amrita Energy Systems,39.04,434.01,-37.35,946.78,,Development Phase,Coimbatore,0.21377222945999128,2030.2450000000001
30.48,70.04,1010.73,Amrita Energy Systems,53.7,429.85,-39.56,940.69,2883.6900000000005,Development Phase,Coimbatore,0.20135194586970173,
,38.47,1015.16#$#,Amrita Energy Systems,57.26,468.9,-25.4,,3278.7075999999997,Development Phase,Coimbatore,0.9325721868350401,502.8029
15.63,41.79,1006.7,Amrita Energy Systems,78.28,455.24,-26.159999999999997,964.9100000000001,6127.758400000001,Development Phase,Coimbatore,,653.1777000000001
21.83,57.85,1012.49&!&#,Amrita Energy Systems,75.16,448.21,-36.02,954.64,,Development Phase,Coimbatore,0.35491507211179657,1262.8654999999999
24.38,57.17,1009.85,Amrita Energy Systems,74.46,444.59,-32.790000000000006,,5544.291599999999,Development Phase,Coimbatore,0.31897584496420806,1393.8046
33.82,73.03,1013.49,,42.17,439.3,-39.21,940.46,1778.3089000000002,Development Phase,Coimbatore,0.1778632809941039,2469.8746
10.8,39.58,1011.99,Amrita Energy Systems,87.54,478.24,-28.779999999999998HHoHH,972.41,,Development Phase,Coimbatore,1.118784271891902,427.464
9.86,41.01,1018.49!$&,Amrita Energy Systems,98.71,467.37,-31.15,977.48,9743.664099999998,Development Phase,Coimbatore,1.1558304930326697,404.35859999999997
25.82,66.49,1013.2,Amrita Energy Systems,60.32,434.35,-40.669999999999995,946.71,3638.5024,Development Phase,Coimbatore,0.25300392282771655,1716.7718
,34.69,1027.9,Amrita Energy Systems,71.73,477.68,-24.629999999999995,993.21@$!,5145.192900000001,Development Phase,Coimbatore,1.3687835512150504,348.9814
19.06,50.16,1011.36,Amrita Energy Systems,99.64,449.74,-31.099999999999998fffjf,961.2,9928.1296,Development Phase,Coimbatore,0.4704149240792529,956.0495999999998
22.53sas,60.95,1015.12,,75.1,449.43,-38.42,,,Development Phase,Coimbatore,0.327285795586743,1373.2035
8.67n,36.66,1026.8,Amrita Energy Systems,84.36w,480.38,-27.989999999999995,990.14,7116.6096,Development Phase,Coimbatore,,317.8422
22.03,64.79,1017.95,Amrita Energy Systems,76.2,450.25,-42.760000000000005,953.1600000000001,5806.4400000000005,Development Phase,Coimbatore,0.315450517636609,1427.3237000000001
,42.86,1013.83,Amrita Energy Systems,77.11,464.36,-26.05,970.97,5945.9520999999995,Development Phase,Coimbatore,0.6445178094611262,720.4766
26.0,69.88,1007.99,Amrita Energy Systems,87.07,434.79,-43.879999999999995,938.11,7581.184899999998,Development Phase,Coimbatore,0.23930584298357627,1816.8799999999999
12.34,40.1iniss,1015.77,Amrita Energy Systems,92.26,470.92,-27.76,975.67,,Development Phase,Coimbatore,0.9516726821519944,494.834
17.49,40.55,1001.73,,73.15,462.37,-23.06,961.1800000000001,5350.922500000001,Development Phase,Coimbatore,0.6519420292307249,709.2194999999999
10.13,38.16,1013.57,Amrita Energy Systems,79.04,474.92,-28.029999999999994Hf#,975.4100000000001I,6247.321600000001,Development Phase,Coimbatore,,386.5608
18.32,47.83,1005.06,Amrita Energy Systems,87.21,454.11,-29.509999999999998,957.2299999999999,7605.584099999999,Development Phase,Coimbatore,0.5182451130139769,876.2456
20.15,65.59,1014.62,Amrita Energy Systems,79.39,449.84,-45.440000000000005,949.03@I$I,6302.7721,Development Phase,Coimbatore,0.3403653873581921,1321.6385
14.65,41.92,1030.61,Amrita Energy Systems,63.07,464.95,-27.270000000000003,988.6899999999999,3977.8249,Development Phase,Coimbatore,0.7570897272229893,614.128
21.03,69.05,1002.17,Amrita Energy Systems,75.35,444.35,-48.019999999999996,933.12,5677.6224999999995,Development Phase,Coimbatore,,1452.1215
,42.28,1007.64,Amrita Energy Systems,69.19,463.83,-24.830000000000002,965.36,4787.2561,Development Phase,Coimbatore,0.628678234610036,737.786
12.03,40.75,1015.93,Amrita Energy Systems,85.07,474.97,-28.72,975.18IH!@,,Development Phase,Coimbatore,0.9688865770134991,490.22249999999997nioon
24.2,50.78,1008.74!,Amrita Energy Systems,59.32,443.09,-26.580000000000002,957.96,,Development Phase,Coimbatore,0.360565264518145,1228.876
22.58,41.54,1013.21,,71.33,460.95,-18.96,971.6700000000001,5087.9689,Development Phase,Coimbatore,0.49143195136065726,937.9731999999999nn
11.81,40.75,1016.13,Amrita Energy Systems,84.14,477.22,-28.939999999999998,975.38,7079.5396,Development Phase,Coimbatore,,481.2575
18.95,65.48,1018.17,Amrita Energy Systems,71.85,452.85,-46.53f,952.6899999999999,5162.422499999999,Development Phase,Coimbatore,0.3649526210343588,
24.33,46.93,1013.72&##,Amrita Energy Systems,48.27,447.43,-22.6,,2329.9929,Development Phase,Coimbatore,,1141.8068999999998
7.94h@n,35.77,1017.04,Amrita Energy Systems,63.22,480.38,-27.830000000000002,981.27,3996.7684,Development Phase,Coimbatore,1.6913966856540066,
16.07,44.58,1019.52,Amrita Energy Systems,67.95,471.36,-28.509999999999998,974.9399999999999,,Development Phase,Coimbatore,0.6579558978593821,716.4005999999999
15.33,43.13,1015.41,Amrita Energy Systems,53.17,466.86,-27.800000000000004,972.28,,Development Phase,Coimbatore,0.706098115967609,
5.91,,1010.18,Amrita Energy Systems,95.53,491.49,-33.42,,9125.9809,Development Phase,Coimbatore,2.1144784273639297,232.4403
,,1018.69,Amrita Energy Systems,66.4,444.23,-36.62,958.82,4408.960000000001!!##,Development Phase,Coimbatore,0.3191359055731864,1391.9775SnI
23.27,60.84,1019.13,Amrita Energy Systems,67.24,440.22,-37.57000000000001$#f,958.29,4521.217599999999,Development Phase,Coimbatore,0.3109454317678839,1415.7468000000001
20.46,51.43,1010.06!#,Amrita Energy Systems,83.79,456.7,-30.97,958.63,7020.764100000001,Development Phase,Coimbatore,0.43401911584784636,1052.2578s
,40.33,1005.31,Amrita Energy Systems,85.42,460.09,-20.2,964.9799999999999,7296.5764,Development Phase,Coimbatore,0.5667229460281048,811.8428999999999
32.34,74.99,1002.77,Amrita Energy Systems,42.83,433.07,-42.64999999999999Hfj,927.78,1834.4089,Development Phase,Coimbatore,0.17857256250946837,2425.1766000000002
9.53,38.38oei,1020.49,Amrita Energy Systems,80.08,478.03,-28.85,982.11,,Development Phase,Coimbatore,1.306944909987768,365.7614
,46.93,1013.09,Amrita Energy Systems,58.02,448.27,-24.7,966.1600000000001,3366.3204000000005,Development Phase,Coimbatore,0.42968447086562533,1043.2539
,40.0oinn,1022.08,Amrita Energy Systems,93.03,475.54,-34.34,982.08,,Development Phase,Coimbatore,2.1004416961130743,226.4
,,1017.46,Amrita Energy Systems,66.13,483.5,-32.63,978.7800000000001,4373.1768999999995,Development Phase,Coimbatore,2.066115702479339,
25.14,60.93,1007.44,Amrita Energy Systems,76.71,437.4,-35.79Hoou,946.5100000000001,5884.424099999999,Development Phase,Coimbatore,,
,40.46,1018.54,Amrita Energy Systems,68.21,470.33,-30.29,978.0799999999999,4652.6041%#,Development Phase,Coimbatore,1.1430253170155793,411.4782
24.39,70.72,1009.78,Amrita Energy Systems,82.25,442.04,-46.33#H,939.06,6765.0625,Development Phase,Coimbatore,0.2562757528027769,1724.8608
21.07,67.07,1004.64,Amrita Energy Systems,86.16,446.05,-45.99999999999999,937.5699999999999,7423.5455999999995,Development Phase,Coimbatore,0.31563903122699977,1413.1649
21.54,69.48,1011.04,Amrita Energy Systems,80.48,443.15,-47.940000000000005,941.56,6477.030400000001,Development Phase,Coimbatore,,1496.5992
20.75a^,60.77,1017.91,Amrita Energy Systems,86.06,448.58,-40.02,957.14,7406.323600000001,Development Phase,Coimbatore,0.35573989226611896,1260.9775
,,1020.69,,69.49,478.35,-29.549999999999997,981.08,4828.860099999999,Development Phase,Coimbatore,1.2004469020263675,398.4766
24.22,,1013.23,Amrita Energy Systems,74.96,440.01,-44.290000000000006,944.72,5619.001599999999,Development Phase,Coimbatore,0.26517613743815055,1659.3122
14.79,39.52,1017.95,Amrita Energy Systems,71.97,469.47,-24.730000000000004,978.4300000000001,5179.680899999999,Development Phase,Coimbatore,0.8031982163240837,584.5008
25.5,67.83,1009.29,Amrita Energy Systems,61.29,437.49,-42.33,941.4599999999999,3756.4640999999997,Development Phase,Coimbatore,,1729.665
30.98,67.48,1009.96,Amrita Energy Systems,58.92,439.39,-36.5aHfuf,,3471.5664,Development Phase,Coimbatore,0.21018111001877798,2090.5304
15.19,41.43,1011.34,,89.67,470.41,-26.240000000000002,969.9100000000001,8040.7089000000005,Development Phase,Coimbatore,0.7474873343792214,629.3217
10.23,42.32,1017.53,Amrita Energy Systems,89.93,473.59,-32.09,975.2099999999999,8087.404900000001,Development Phase,Coimbatore,1.0939090890612324,432.9336
18.87,52.05,1012.02,Amrita Energy Systems,53.46g,458.64,-33.17999999999999,959.97I@@@!,2857.9716000000003,Development Phase,Coimbatore,0.46695958545424554,982.1835
,56.57,1013.68,Amrita Energy Systems,61.6gmco,442.94,-29.76feHfa,957.1099999999999,3794.5600000000004,Development Phase,Coimbatore,,1516.6417
14.95,43.52,1022.43,Amrita Energy Systems,94.75,464.98,-28.570000000000004,978.91,8977.5625,Development Phase,Coimbatore,0.7146677650993508,
9.93,40.67,1018.08&,Amrita Energy Systems,69.74ihwgb,485.23,-30.740000000000002,,,Development Phase,Coimbatore,1.201501238940595,403.8531
14.43,38.91,1013.28,Amrita Energy Systems,70.26,468.83,-24.479999999999997,974.37,4936.467600000001,Development Phase,Coimbatore,0.8350026083256616,561.4712999999999
3.96,35.47oio,1016.79,Amrita Energy Systems,83.81,489.68,-31.509999999999998,981.3199999999999,7024.1161,Development Phase,Coimbatore,3.486229649184259,140.4612
22.7,48.14,1014.06$!,Amrita Energy Systems,60.09,448.96,-25.44,965.92,3610.8081,Development Phase,Coimbatore,0.41084282443460607,
25.14ss^^,,1013.96,Amrita Energy Systems,41.78,435.39,-42.17999999999999,946.6400000000001,,Development Phase,Coimbatore,0.2572581068299165,1692.4247999999998
30.93,71.85,1008.63,Amrita Energy Systems,58.47,427.82,-40.919999999999995,,3418.7409,Development Phase,Coimbatore,0.19251048622374678,2222.3205
14.2^f%,43.02,1012.18,,57.07,470.67,-28.820000000000004,969.16,3256.9849,Development Phase,Coimbatore,0.7704736087375017,610.884
29.39,69.89,1013.92,Amrita Energy Systems,47.36,434.27,-40.5,944.03,2242.9696,Development Phase,Coimbatore,0.21141957826012595,2054.0671
12.88,38.53,1010.95,Amrita Energy Systems,87.16,466.92,-25.65,,7596.865599999999,Development Phase,Coimbatore,0.9408656318461214,496.26640000000003
28.24,65.27,1013.43,Amrita Energy Systems,48.74,439.36,-37.03,948.16,2375.5876000000003,Development Phase,Coimbatore,0.23836484838962674,
,44.34,1019.54,Amrita Energy Systems,48.09,468.8,-25.190000000000005,975.1999999999999,2312.6481000000003,Development Phase,Coimbatore,0.552106850576662,849.111
18.45,42.44,1013.45,Amrita Energy Systems,63.52,459.79,-23.99,971.01,4034.7904000000003,Development Phase,Coimbatore,0.5872023376218682,783.0179999999999
28.96,66.54,1002.54,Amrita Energy Systems,56.33,429.48,-37.580000000000005,936.0I@I!I,,Development Phase,Coimbatore,0.22287512018691866,1926.9984000000002
14.22,45.08,1023.26,Amrita Energy Systems,84.41,466.47,-30.86,978.18,,Development Phase,Coimbatore,0.7276796244089271,641.0376
,65.48,1017.33,Amrita Energy Systems,66.26,447.14,-42.60000000000001,951.85,4390.387600000001,Development Phase,Coimbatore,0.2984549811825316,1498.1824
9.35,44.03,1011.02,Amrita Energy Systems,88.11,476.25,-34.68,966.99,,Development Phase,Coimbatore,1.1568437173973507,
26.41,68.24,1010.6,Amrita Energy Systems,77.79,428.52,-41.83$HHH,942.36,6051.284100000001,Development Phase,Coimbatore,0.23777362388487433,1802.2184
25.52f$@i,63.94,1017.81,,41.54,440.32,-38.42,953.8699999999999,1725.5716,Development Phase,Coimbatore,,1631.7487999999998
23.07,65.27,1013.24,Amrita Energy Systems,58.38,443.42,-42.199999999999996,947.97,3408.2244000000005%#$#!,Development Phase,Coimbatore,0.294478824215162,1505.7789
18.75,44.9,1007.99,Amrita Energy Systems,75.76av,452.77,-26.15,963.09,5739.5776000000005,Development Phase,Coimbatore,0.53781143281366,
,45.87,1008.89,Amrita Energy Systems,87.27,463.5,-32.11,963.02,7616.0529,Development Phase,Coimbatore,,631.1712
13.22,44.92,1023.84,Amrita Energy Systems,87.99,471.43,-31.700000000000003,978.9200000000001,7742.240099999999,Development Phase,Coimbatore,0.793863826496727,593.8424sN
34.09,68.51,1009.0,Amrita Energy Systems,32.96,431.19,-34.42,940.49,1086.3616,Development Phase,Coimbatore,0.1846238110552407,2335.5059000000006
13.96,,1009.89,Amrita Energy Systems,84.86,469.86,-26.869999999999997,969.06,,Development Phase,Coimbatore,0.8243348793340477,569.9868
28.8,74.9,1003.48!!$!$,Amrita Energy Systems,75.01,434.01,-46.10000000000001,928.58,5626.500100000001,Development Phase,Coimbatore,0.2011988206497552,2157.1200000000003
28.65,68.27,1006.96!,Amrita Energy Systems,52.78,432.73,-39.62,938.69,,Development Phase,Coimbatore,0.2212394018105403,1955.9354999999998
5.71,40.77,1022.49,Amrita Energy Systems,87.9,487.48,-35.06,981.72,7726.410000000001,Development Phase,Coimbatore,,
11.64,40.22,1010.58,Amrita Energy Systems,80.84uap,477.52,-28.58,970.36,6535.105600000001,Development Phase,Coimbatore,,468.1608
,40.77,1022.04,Amrita Energy Systems,85.23xr,473.73,-31.090000000000003,981.27,7264.152900000001,Development Phase,Coimbatore,,394.65360000000004
24.09,73.68,1014.93,Amrita Energy Systems,94.55,441.34,-49.59,941.25,8939.7025,Development Phase,Coimbatore,0.24864908962004134,1774.9512000000002nn
22.7,,1012.08,Amrita Energy Systems,78.08,449.75,-38.709999999999994ee$,950.6700000000001,6096.4864,Development Phase,Coimbatore,,1394.0069999999998
27.47,63.78sesos,1016.07,Amrita Energy Systems,48.47u,446.69,-36.31,952.2900000000001,2349.3408999999997#$,Development Phase,Coimbatore,0.25495471955323307,
9.76@^!,41.01,1019.66,Amrita Energy Systems,97.59,467.6,-31.25,978.65,9523.8081,Development Phase,Coimbatore,1.168247648514357,400.25759999999997
6.18,41.38,1020.23,Amrita Energy Systems,81.38,490.81,-35.2$#,978.85,6622.7044,Development Phase,Coimbatore,,255.7284
10.59,41.54ooiin,1019.94,Amrita Energy Systems,72.52ok,478.74,-30.95,978.4000000000001,5259.1503999999995,Development Phase,Coimbatore,1.0882715182199212,
34.43,68.51,1010.17,Amrita Energy Systems,34.09,431.39,-34.080000000000005je,941.66,1162.1281000000001,Development Phase,Coimbatore,0.18288541971332617,2358.7993
28.39,51.43,1011.74,Amrita Energy Systems,47.54,449.63,-23.04,960.3100000000001,2260.0516,Development Phase,Coimbatore,0.307945146410408,1460.0977sn
